Jun 26 03:00:17 rx10025878 syslogd: restart
Jun 26 03:00:20 rx10025878 syslogd: restart
Jun 26 03:00:23 rx10025878 syslogd: restart
Jun 26 03:00:25 rx10025878 syslogd: restart
Jun 26 03:00:28 rx10025878 syslogd: restart
Jun 26 03:00:30 rx10025878 syslogd: restart
Jun 26 03:00:33 rx10025878 syslogd: restart
Jun 26 03:00:36 rx10025878 syslogd: restart
Jun 26 03:00:36 nto CI: INFO	logrotate.sh	/mnt/sd/statuslog.csv.0002 has 10000000 bytes => log rotation 
Jun 26 05:06:37 nto PU4: INFO	System	CLog1 500 ms: 20017 Vdc: 26 Idc: 1 Pdc: 29 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:37 nto PU2: INFO	System	CLog1 500 ms: 20017 Vdc: 420 Idc: 0 Pdc: 23 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:37 nto PU4: INFO	System	CLog1 500 ms: 20017 Vdc: 441 Idc: 1 Pdc: 28 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:37 nto PU4: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitForStartBackgroundMonitoring 
Jun 26 05:06:37 nto PU4: INFO	PuMaster	Main FSM State: GD_SUPPLY_ENABLE 
Jun 26 05:06:37 nto PU1: INFO	System	CLog1 500 ms: 20017 Vdc: 438 Idc: 1 Pdc: 52 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:37 nto PU1: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitForStartBackgroundMonitoring 
Jun 26 05:06:37 nto PU1: INFO	PuMaster	Main FSM State: GD_SUPPLY_ENABLE 
Jun 26 05:06:37 nto PU3: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitForStartBackgroundMonitoring 
Jun 26 05:06:37 nto PU3: INFO	PuMaster	Main FSM State: GD_SUPPLY_ENABLE 
Jun 26 05:06:38 nto PU2: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitForStartBackgroundMonitoring 
Jun 26 05:06:38 nto PU2: INFO	PuMaster	Main FSM State: GD_SUPPLY_ENABLE 
Jun 26 05:06:38 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM1 input change from FALSE to TRUE
Jun 26 05:06:38 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM2 input change from FALSE to TRUE
Jun 26 05:06:38 nto PU3: INFO	System	CLog1 500 ms: 20017 Vdc: 16 Idc: 0 Pdc: 13 Pac: 11 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:39 nto PU3: INFO	System	CLog1 500 ms: 20017 Vdc: 444 Idc: 0 Pdc: 12 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:39 nto PU4: INFO	System	CLog1 500 ms: 20017 Vdc: 25 Idc: 1 Pdc: 28 Pac: 2 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:39 nto PU1: INFO	System	CLog1 500 ms: 20017 Vdc: 25 Idc: 1 Pdc: 54 Pac: 13 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:40 nto PU2: INFO	System	CLog1 500 ms: 20017 Vdc: 24 Idc: 0 Pdc: 23 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:40 nto PU4: INFO	System	CLog1 500 ms: 20017 Vdc: 439 Idc: 1 Pdc: 28 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:40 nto PU1: INFO	System	CLog1 500 ms: 20017 Vdc: 439 Idc: 1 Pdc: 52 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:40 nto PU2: INFO	System	CLog1 500 ms: 20017 Vdc: 427 Idc: 0 Pdc: 23 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:41 nto PU3: INFO	System	CLog1 500 ms: 20017 Vdc: 18 Idc: 0 Pdc: 11 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:41 nto PU3: INFO	System	CLog1 500 ms: 20017 Vdc: 444 Idc: 0 Pdc: 12 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:42 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM1 input change from TRUE to FALSE
Jun 26 05:06:42 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM2 input change from TRUE to FALSE
Jun 26 05:06:42 nto PU4: INFO	System	CLog1 500 ms: 20017 Vdc: 26 Idc: 0 Pdc: 28 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:42 nto PU1: INFO	System	CLog1 500 ms: 20017 Vdc: 25 Idc: 1 Pdc: 53 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:42 nto PU2: INFO	System	CLog1 500 ms: 20017 Vdc: 23 Idc: 0 Pdc: 23 Pac: 4 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:42 nto PU4: INFO	PuMaster	Main FSM State: STARTUP 
Jun 26 05:06:42 nto PU4: INFO	PuMaster	Startup FSM State: WAIT_DC_CONTACTOR_RELEASED 
Jun 26 05:06:42 nto PU4: DEBUG	SafetyM	SafetyManagerFSM: readyForBackgroundMonitoring called 
Jun 26 05:06:42 nto PU4: DEBUG	SafetyM	SafetyManagerFSM: exitMainStateWaitForStartBackgroundMonitoring 
Jun 26 05:06:42 nto PU4: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitBackgroundMonitoringOk 
Jun 26 05:06:42 nto PU4: INFO	System	CLog1 500 ms: 20017 Vdc: 444 Idc: 0 Pdc: 16 Pac: 4 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:42 nto PU1: INFO	PuMaster	Main FSM State: STARTUP 
Jun 26 05:06:42 nto PU1: INFO	PuMaster	Startup FSM State: WAIT_DC_CONTACTOR_RELEASED 
Jun 26 05:06:42 nto PU1: DEBUG	SafetyM	SafetyManagerFSM: readyForBackgroundMonitoring called 
Jun 26 05:06:42 nto PU1: DEBUG	SafetyM	SafetyManagerFSM: exitMainStateWaitForStartBackgroundMonitoring 
Jun 26 05:06:42 nto PU1: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitBackgroundMonitoringOk 
Jun 26 05:06:42 nto PU1: INFO	System	CLog1 500 ms: 20017 Vdc: 437 Idc: 0 Pdc: 34 Pac: 15 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:42 nto PU3: INFO	PuMaster	Main FSM State: STARTUP 
Jun 26 05:06:42 nto PU3: INFO	PuMaster	Startup FSM State: WAIT_DC_CONTACTOR_RELEASED 
Jun 26 05:06:42 nto PU3: DEBUG	SafetyM	SafetyManagerFSM: readyForBackgroundMonitoring called 
Jun 26 05:06:42 nto PU3: DEBUG	SafetyM	SafetyManagerFSM: exitMainStateWaitForStartBackgroundMonitoring 
Jun 26 05:06:42 nto PU3: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitBackgroundMonitoringOk 
Jun 26 05:06:43 nto PU2: INFO	PuMaster	Main FSM State: STARTUP 
Jun 26 05:06:43 nto PU2: INFO	PuMaster	Startup FSM State: WAIT_DC_CONTACTOR_RELEASED 
Jun 26 05:06:43 nto PU2: DEBUG	SafetyM	SafetyManagerFSM: readyForBackgroundMonitoring called 
Jun 26 05:06:43 nto PU2: DEBUG	SafetyM	SafetyManagerFSM: exitMainStateWaitForStartBackgroundMonitoring 
Jun 26 05:06:43 nto PU2: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitBackgroundMonitoringOk 
Jun 26 05:06:43 nto PU2: INFO	System	CLog1 500 ms: 20017 Vdc: 429 Idc: 0 Pdc: 14 Pac: 3 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:43 nto PU4: INFO	PuMaster	Main FSM State: SEVERE_ERROR 
Jun 26 05:06:43 nto PU4: INFO	System	StatusGenerator: statuscode: 110 subcodeBit: 1  objectId: 76 
Jun 26 05:06:43 nto PU1: INFO	PuMaster	Main FSM State: SEVERE_ERROR 
Jun 26 05:06:43 nto PU1: INFO	System	StatusGenerator: statuscode: 110 subcodeBit: 1  objectId: 76 
Jun 26 05:06:43 nto CI: INFO	iumanager	iumanager:   INVERTER STATUS 20002   INVERTER SUBCODE 0   RunLevel 1   StatusCodePriority 110
Jun 26 05:06:43 nto PU3: INFO	PuMaster	Main FSM State: SEVERE_ERROR 
Jun 26 05:06:43 nto PU3: INFO	System	StatusGenerator: statuscode: 110 subcodeBit: 1  objectId: 76 
Jun 26 05:06:43 nto PU2: INFO	PuMaster	Main FSM State: SEVERE_ERROR 
Jun 26 05:06:43 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM1 input change from FALSE to TRUE
Jun 26 05:06:43 nto PU2: INFO	System	StatusGenerator: statuscode: 110 subcodeBit: 1  objectId: 76 
Jun 26 05:06:43 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM2 input change from FALSE to TRUE
Jun 26 05:06:43 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 17 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:44 nto CI: INFO	iumanager	iumanager:   INVERTER STATUS 20002   INVERTER SUBCODE 2   RunLevel 1   StatusCodePriority 110
Jun 26 05:06:44 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 445 Idc: 0 Pdc: 3 Pac: 3 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:44 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 26 Idc: 0 Pdc: 0 Pac: 17 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:45 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM1 input change from TRUE to FALSE
Jun 26 05:06:45 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM2 input change from TRUE to FALSE
Jun 26 05:06:45 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 439 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:45 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 32 Idc: 0 Pdc: 1 Pac: 5 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:45 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 23 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:45 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 443 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:45 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 20 Idc: 0 Pdc: 2 Pac: 2 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:46 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 431 Idc: 0 Pdc: 0 Pac: 3 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:46 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM1 input change from FALSE to TRUE
Jun 26 05:06:46 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM2 input change from FALSE to TRUE
Jun 26 05:06:46 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 448 Idc: 0 Pdc: 2 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:47 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 25 Idc: 0 Pdc: 0 Pac: 10 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:47 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 446 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:47 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 25 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:48 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 24 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:48 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 444 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:48 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 17 Idc: 0 Pdc: 1 Pac: 29 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:48 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 433 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:49 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 448 Idc: 0 Pdc: 2 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:49 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 26 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:50 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 48 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:50 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 22 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:50 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 24 Idc: 0 Pdc: 0 Pac: 16 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:50 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 449 Idc: 0 Pdc: 0 Pac: 3 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:50 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 444 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:50 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 18 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:51 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 45 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:51 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 443 Idc: 0 Pdc: 2 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:51 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 436 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:52 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 26 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:52 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 443 Idc: 0 Pdc: 0 Pac: 3 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:52 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 23 Idc: 0 Pdc: 1 Pac: 20 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:53 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 61 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:53 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 446 Idc: 0 Pdc: 1 Pac: 4 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:53 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 18 Idc: 0 Pdc: 2 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:53 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 23 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:53 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 448 Idc: 0 Pdc: 1 Pac: 26 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:54 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 437 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:54 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 26 Idc: 0 Pdc: 0 Pac: 32 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:55 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 47 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:55 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 19 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:55 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 455 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:55 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 450 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:55 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 17 Idc: 0 Pdc: 2 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:56 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 23 Idc: 0 Pdc: 0 Pac: 1 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:56 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 454 Idc: 0 Pdc: 1 Pac: 10 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:56 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 436 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:57 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 26 Idc: 0 Pdc: 0 Pac: 7 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:57 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 452 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:57 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 22 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:58 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 451 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:58 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 19 Idc: 0 Pdc: 2 Pac: 15 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:58 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 23 Idc: 0 Pdc: 0 Pac: 6 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:59 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 457 Idc: 0 Pdc: 1 Pac: 2 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:59 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 441 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:59 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 26 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:00 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 451 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:00 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 26 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:00 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 20 Idc: 0 Pdc: 3 Pac: 1 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:00 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 452 Idc: 0 Pdc: 0 Pac: 13 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:01 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 458 Idc: 0 Pdc: 2 Pac: 19 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:01 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 32 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:02 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 443 Idc: 0 Pdc: 0 Pac: 4 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:02 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 26 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:02 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 457 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:02 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 20 Idc: 0 Pdc: 0 Pac: 9 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:03 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 18 Idc: 0 Pdc: 2 Pac: 1 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:03 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 454 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:03 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 455 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:03 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 22 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:04 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 47 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:04 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 444 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:04 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 25 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:05 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 459 Idc: 0 Pdc: 0 Pac: 5 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:05 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 27 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:05 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 19 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:05 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 456 Idc: 0 Pdc: 1 Pac: 1 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:06 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 460 Idc: 0 Pdc: 2 Pac: 5 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:06 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 23 Idc: 0 Pdc: 0 Pac: 3 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:07 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 445 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:07 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 25 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:07 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 460 Idc: 0 Pdc: 0 Pac: 7 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:07 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 22 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:08 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 20 Idc: 0 Pdc: 2 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:08 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 458 Idc: 0 Pdc: 1 Pac: 8 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:08 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 462 Idc: 0 Pdc: 3 Pac: 9 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:08 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 184 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:09 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 24 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:09 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 42 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:09 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 448 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:09 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 460 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:10 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 20 Idc: 0 Pdc: 2 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:10 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 26 Idc: 0 Pdc: 0 Pac: 7 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:10 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 459 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:11 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 464 Idc: 0 Pdc: 2 Pac: 2 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:11 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 23 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:11 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 25 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:12 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 449 Idc: 0 Pdc: 0 Pac: 3 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:12 nto PU4: INFO	System	CLog1 500 ms: 20002 Vdc: 463 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:12 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 19 Idc: 0 Pdc: 1 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:12 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 21 Idc: 0 Pdc: 0 Pac: 2 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:13 nto PU3: INFO	System	CLog1 500 ms: 20002 Vdc: 463 Idc: 0 Pdc: 3 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:13 nto PU1: INFO	System	CLog1 500 ms: 20002 Vdc: 460 Idc: 0 Pdc: 0 Pac: 4 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:14 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 24 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:07:14 nto PU2: INFO	System	CLog1 500 ms: 20002 Vdc: 451 Idc: 0 Pdc: 0 Pac: 0 IdLim: 0.00 Phi: 0.00 
